name,duration,year,genre,releaseDate,rating,ratingCount,director,cast,story,language and country
"All I See Is You ,",1h 50min,2016,"Drama,Thriller","14 September 2016 (Canada)
,",7.0,44,Marc Forster,"Blake Lively,Yvonne Strahovski,Jason Clarke",A blind woman's relationship with her husband changes when she regains her sight and discovers disturbing details about themselves.,"USA,Thailand,English,Bangkok, Thailand,company contact information,IMDbPro"
"Penny Pinchers ,",1h 54min,2011,"Comedy,Romance","10 November 2011 (South Korea)
,",6.8,560,,,"Ji-woong is a loser who can't find a job so he lies to his mom for money, but his mom abruptly cuts him off one day, and he becomes homeless. But that same day, salvation arrives in the form of Hong-sil who's extremely stingy. Her hobby is visiting the bank to make savings deposits, and her specialty is selling empty glass bottles and old newspapers for cash. One day, her savings plans are brought to a screeching halt when she learns she needs a separate bank account under someone else's name to reach her goal of 20 million dollars. That's when Ji-woong comes into the picture.                ,","Official site [Japan],Official site [South Korea],South Korea,Korean,company contact information,IMDbPro,Dolby Digital,Color"
"Armageddon ,",2h 31min,1998,"Action,Adventure,Sci-Fi",,6.6,"325,197",,,"It is just another day at the National Aeronautics and Space Administration (NASA), a few astronauts were repairing a satellite until, out of nowhere, a series of asteroids came crashing into the shuttle, destroying it. These asteroids also decimated New York soon thereafter. Then, NASA discovered that there is an asteroid roughly the size of Texas heading towards the Earth, and when it does hit the Earth, the planet itself and all of its inhabitants will be obliterated, worse, the asteroid will hit the Earth in 18 days. Unfortunately, NASA's plans to destroy the asteroid are irrelevant. That is when the U.S. military decides to use a nuclear warhead to blow the asteroid to pieces. Then, scientists decide to blow the asteroid with the warhead inside the asteroid itself. The only man to do it, is an oil driller named Harry Stamper and his group of misfit drillers and geologists. As he and his drill team prepare for space excavation, the asteroid is still heading towards the Earth. When...                ,","USA,English,Russian,Indonesian,Los Angeles Theatre - 615 S. Broadway, Downtown, Los Angeles, California, USA,company contact information,IMDbPro,DTS,Dolby Digital,SDDS,Color"
The Wendy Williams Show ,1h,,Talk-Show,,3.9,788,"Wendy Williams,Jason Rooney,Brian Balthazar",,"Talk show where , chats about celebrity gossip and what's new in the entertainment world.","USA,English,New York City, New York, USA,company contact information,IMDbPro,Mono,Color"
"American Honey ,",2h 43min,2016,Drama,,6.8,635,,,"Star, a teenage girl with nothing to lose, joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss-crosses the Midwest with a band of misfits.                ,","Official site,UK,USA,English,Muskogee, Oklahoma, USA,company contact information,IMDbPro,Color"
"Midnight Special ,",1h 52min,2016,"Adventure,Drama,Sci-Fi",,6.7,"37,809",,,"Alton Meyer is a boy unlike any other in the world with bizarrely powerful abilities and strange weaknesses. In the middle of the night, his father, Roy, spirits him away from the isolated cult that practically worships him and is determined to regain him at all costs. At the same time, Alton's abilities have been noticed by the US government as well and they are equally insistent on getting to the bottom of this mystery with Paul Sevier of the National Security Agency leading the Federal pursuit with his own questions. These rival hunts force father and son into a desperate run towards a looming date with destiny that could change everything.                ,","Official Facebook,Official site,USA,Greece,English,New Orleans, Louisiana, USA,company contact information,IMDbPro,Dolby Digital,Datasat,Color"
"Colossal ,",1h 50min,2016,"Action,Sci-Fi,Thriller",,6.8,139,Nacho Vigalondo,"Jason Sudeikis,Anne Hathaway,Dan Stevens",A woman discovers that severe catastrophic events are somehow connected to the mental breakdown from which she's suffering.,"Official site,Spain,Canada,Vancouver, British Columbia, Canada,company contact information,IMDbPro"
"Denial ,",1h 50min,2016,"Biography,Drama,History",,4.9,132,,,"Based on the acclaimed book ""History on Trial: My Day in Court with a Holocaust Denier,"" DENIAL recounts Deborah E. Lipstadt's (Academy Award winner Rachel Weisz) legal battle for historical truth against David Irving (Cannes Award winner Timothy Spall), who accused her of libel when she declared him a Holocaust denier. In the English legal system, the burden of proof is on the accused, therefore it was up to Lipstadt and her legal team to prove the essential truth that the Holocaust occurred. Also starring two-time Academy Award nominee Tom Wilkinson, the film is directed by Emmy Award winner Mick Jackson (""Temple Grandin"") and adapted for the screen by BAFTA and Academy Award nominated writer David Hare (THE READER). Producers are Gary Foster and Russ Krasnoff.                ,","UK,USA,English,London, England, UK,company contact information,IMDbPro,Color"
Quantico ,42min,,"Crime,Drama,Mystery",,7.2,"34,047",,,A look at the lives of young FBI recruits training at the Quantico base in Virginia when one of them is suspected of being a sleeper terrorist.,"Official Facebook,Official Instagram,USA,English,Atlanta, Georgia, USA,company contact information,IMDbPro,Stereo,Color"
"Storks ,",1h 27min,2016,"Animation,Adventure,Comedy",,7.2,"2,289",,,"Storks deliver babies...or at least they used to. Now they deliver packages for global internet giant Cornerstore.com. Junior, the company's top delivery stork, is about to be promoted when he accidentally activates the Baby Making Machine, producing an adorable and wholly unauthorized baby girl. Desperate to deliver this bundle of trouble before the boss gets wise, Junior and his friend Tulip, the only human on Stork Mountain, race to make their first-ever baby drop - in a wild and revealing journey that could make more than one family whole and restore the storks' true mission in the world.                ,","Official site,USA,English,company contact information,IMDbPro,Dolby Digital,6-Track Stereo,Datasat,DTS,Auro 11.1,Dolby Atmos,Color"
