Name,Availability,Regular Price,Special Price,Description
,,"
                    $1,105.00                ,
                    $650.00                ,
                    $1,800.00                ,
                    $650.00                ,
                    $1,100.00                ","
                    $1,000.00                ,
                    $569.00                ,
                    $1,600.00                ,
                    $569.00                ,
                    $1,000.00                ",
,,,,
,,"
                    $1,105.00                ,
                    $650.00                ,
                    $650.00                ,
                    $1,339.00                ,
                    $649.00                ,
                    $879.00                ","
                    $1,000.00                ,
                    $569.00                ,
                    $569.00                ,
                    $1,199.00                ,
                    $599.00                ,
                    $829.00                ",
,,"
                    $1,800.00                ,
                    $1,100.00                ,
                    $1,889.00                ,
                    $1,099.00                ,
                    $879.00                ,
                    $769.00                ,
                    $879.00                ,
                    $1,099.00                ,
                    $1,099.00                ,
                    $879.00                ","
                    $1,600.00                ,
                    $1,000.00                ,
                    $1,599.00                ,
                    $1,049.00                ,
                    $829.00                ,
                    $719.00                ,
                    $829.00                ,
                    $849.00                ,
                    $999.00                ,
                    $679.00                ",
,,"
                    $650.00                ,
                    $649.00                ,
                    $879.00                ","
                    $569.00                ,
                    $599.00                ,
                    $829.00                ",
,,,,
,,"
                    $879.00                ","
                    $679.00                ",
,,,,
,,"
                    $1,339.00                ,
                    $1,099.00                ","
                    $1,199.00                ,
                    $999.00                ",
,,,,
,,"
                    $1,800.00                ,
                    $1,100.00                ,
                    $1,889.00                ,
                    $1,339.00                ,
                    $1,099.00                ,
                    $879.00                ","
                    $1,600.00                ,
                    $1,000.00                ,
                    $1,599.00                ,
                    $1,199.00                ,
                    $999.00                ,
                    $679.00                ",
,,"
                    $649.00                ","
                    $599.00                ",
,,"
                    $1,099.00                ","
                    $849.00                ",
,,"
                    $650.00                ,
                    $650.00                ,
                    $879.00                ,
                    $879.00                ,
                    $769.00                ,
                    $879.00                ","
                    $569.00                ,
                    $569.00                ,
                    $829.00                ,
                    $829.00                ,
                    $719.00                ,
                    $829.00                ",
,,,,
,,"
                    $1,105.00                ,
                    $650.00                ,
                    $1,889.00                ,
                    $1,339.00                ,
                    $1,099.00                ,
                    $649.00                ,
                    $879.00                ","
                    $1,000.00                ,
                    $569.00                ,
                    $1,599.00                ,
                    $1,199.00                ,
                    $1,049.00                ,
                    $599.00                ,
                    $829.00                ",
,,"
                    $1,105.00                ,
                    $650.00                ,
                    $1,099.00                ,
                    $879.00                ,
                    $769.00                ,
                    $879.00                ,
                    $1,099.00                ","
                    $1,000.00                ,
                    $569.00                ,
                    $1,049.00                ,
                    $829.00                ,
                    $719.00                ,
                    $829.00                ,
                    $849.00                ",
Trek 7.4 FX,In stock,"
                    $769.00                ","
                    $719.00                ",Performance and versatility make the 7.4 FX a true all-rounder
,,"
                    $1,105.00                ,
                    $1,100.00                ,
                    $1,889.00                ,
                    $1,099.00                ","
                    $1,000.00                ,
                    $1,000.00                ,
                    $1,599.00                ,
                    $1,049.00                ",
,,,,
,,"
                    $879.00                ","
                    $829.00                ",
,,"
                    $1,105.00                ,
                    $650.00                ,
                    $1,889.00                ,
                    $1,339.00                ,
                    $1,099.00                ,
                    $879.00                ,
                    $649.00                ,
                    $879.00                ","
                    $1,000.00                ,
                    $569.00                ,
                    $1,599.00                ,
                    $1,199.00                ,
                    $1,049.00                ,
                    $829.00                ,
                    $599.00                ,
                    $829.00                ",
Trek 7.5 FX,In stock,"
                    $1,099.00                ","
                    $1,049.00                ",A hybrid that might be lighter and quicker than your old road bike
2016 Trek Steel District,In stock,,,Trek's best steel commuter with disc brakes and fenders included
2016 Trek 8.4 DS,In stock,"
                    $879.00                ","
                    $829.00                ",Rough paths and trails are no match for the 8.4 DS
Trek Neko S,In stock,"
                    $649.00                ","
                    $599.00                ",A capable trail blazer and city bike all in one
Trek Verve 3 and Verve 3 WSD,In stock,,,Smooth. Comfortable. Classy. Trek's Verve 3 does it all well.
Trek 7.7 FX,In stock,"
                    $1,889.00                ","
                    $1,599.00                ",Trek's lightest hybrid that puts road bikes on notice
2017 Liv Thrive 1,In stock,,,The Liv Thrive 1 isn't just a once-around-the-park machine. It can inspire you to reach new heights!
Trek Neko SL,In stock,"
                    $879.00                ","
                    $829.00                ","Exceptional versatility, performance and style go hand in hand. In hand."
2015 Liv Alight 1,In stock,"
                    $650.00                ","
                    $569.00                ","Ready for a lighter, better bike for rides around the lake? Giant's Alight 1 might be it!"
,,"
                    $1,800.00                ","
                    $1,600.00                ",
2016 Giant Toughroad SLR 2,In stock,,,"Giant's latest model for trails, gravel and unexplored roads"
,,,,
2015 Giant Fastroad SLR 1,In stock,"
                    $1,105.00                ","
                    $1,000.00                ",A flat-bar road bike that adds fun to fitness rides and commutes with ease.
2017 Felt Sport e-95 S,In stock,,,A power assist bike that looks ready for a workout? Felt has your back!
2017 Felt Verza-e 30 S,In stock,,,Now anyone can ride to work with Felt's power-assist bicycles!
2017 Felt Verza Cafe 24 Women's,In stock,,,It has everything a custom builder would put on the perfect city bike!
2016 Giant FastRoad SLR 1,In stock,"
                    $1,100.00                ","
                    $1,000.00                ",This might be the fastest city/commuter bike for your dollar!
Trek Verve 3 and Verve 3 WSD,In stock,,,
